#-------------------------------------------------------------------------------------------------------------------------------------------------------------------
#
# Results of thermal analysis
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
#Location, 	 Radius, mm	 Conv. heat	 Conv. heat	 Rad. heat 	 Total heat	     Twg, K	     Twi, K	     Twc, K	      Tc, K	    pc, MPa	    wc, m/s	 rho, kg/m^	                       Comments	 
        mm	           	  coeff., k	  flux, kW/	 flux, kW/m	  flux, kW/	           	           	           	           	           	           	          3	                               	 
          	           	    W/m^2-K	        m^2	         ^2	        m^2	           	           	           	           	           	           	           	                               	 
#------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    0.0000	    45.7700	     0.0000	     0.0000	   192.7594	   192.7594	   371.9900	   371.9900	   369.2700	   344.5100	     4.7360	     4.7000	   735.9900	 regenerative cooling, opposite flow; film coolant injection	 
    3.1700	    45.7700	     0.0000	     0.0000	   228.8385	   228.8385	   376.7400	   376.7400	   373.8500	   344.4400	     4.7370	     4.7000	   736.0700	 regenerative cooling, opposite flow	 
    6.3500	    45.7700	     0.0000	     0.0000	   261.0077	   261.0077	   380.9800	   380.9800	   377.9300	   344.3600	     4.7370	     4.7000	   736.1700	 regenerative cooling, opposite flow	 
    9.5200	    45.7700	     0.0000	     0.0000	   289.4475	   289.4475	   384.7000	   384.7000	   381.5200	   344.2600	     4.7380	     4.7000	   736.2700	 regenerative cooling, opposite flow	 
   12.6900	    45.7700	     0.0000	     0.0000	   313.7425	   313.7425	   387.9000	   387.9000	   384.5800	   344.1600	     4.7380	     4.7000	   736.3900	 regenerative cooling, opposite flow	 
   15.8600	    45.7700	     0.0000	     0.0000	   334.3729	   334.3729	   390.5900	   390.5900	   387.1800	   344.0400	     4.7380	     4.6900	   736.5100	 regenerative cooling, opposite flow	 
   19.0400	    45.7700	     0.0000	     0.0000	   351.1860	   351.1860	   392.7800	   392.7800	   389.2800	   343.9300	     4.7390	     4.6900	   736.6400	 regenerative cooling, opposite flow	 
   22.2100	    45.7700	     0.0000	     0.0000	   364.3005	   364.3005	   394.4700	   394.4700	   390.9000	   343.8000	     4.7390	     4.6900	   736.7800	 regenerative cooling, opposite flow	 
   25.3800	    45.7700	     0.0000	     0.0000	   373.8016	   373.8016	   395.6600	   395.6600	   392.0600	   343.6700	     4.7400	     4.6900	   736.9200	 regenerative cooling, opposite flow	 
   28.5500	    45.7700	     0.0000	     0.0000	   379.2195	   379.2195	   396.3300	   396.3300	   392.6900	   343.5400	     4.7400	     4.6900	   737.0600	 regenerative cooling, opposite flow	 
   31.7300	    45.7700	     0.0000	     0.0000	   381.1059	   381.1059	   396.5100	   396.5100	   392.8600	   343.4100	     4.7410	     4.6900	   737.2100	 regenerative cooling, opposite flow	 
   34.9000	    45.7700	     0.4557	   855.6619	   283.1299	  1138.7918	   497.4500	   497.4500	   491.2900	   343.1400	     4.7410	     4.6900	   737.5000	 regenerative cooling, opposite flow	 
   38.0700	    45.7700	     0.3431	   653.6926	   282.1349	   935.8275	   470.0600	   470.0600	   464.9300	   342.7800	     4.7410	     4.6900	   737.9000	 regenerative cooling, opposite flow	 
   41.2400	    45.7700	     0.5843	  1080.4134	   265.7040	  1346.1174	   526.0500	   526.0500	   518.7300	   342.3800	     4.7420	     4.6800	   738.3300	 regenerative cooling, opposite flow	 
   44.4200	    45.7700	     0.7091	  1292.1328	   247.6681	  1539.8009	   552.9100	   552.9100	   544.5400	   341.8800	     4.7420	     4.6800	   738.8900	 regenerative cooling, opposite flow	 
   47.5900	    45.7700	     0.7522	  1364.4830	   232.7270	  1597.2100	   561.2700	   561.2700	   552.5900	   341.3300	     4.7430	     4.6800	   739.4900	 regenerative cooling, opposite flow	 
   50.7600	    45.7700	     0.7691	  1392.7797	   222.7061	  1615.4858	   564.3300	   564.3300	   555.5300	   340.7600	     4.7430	     4.6700	   740.1100	 regenerative cooling, opposite flow	 
   53.9400	    45.7700	     0.7765	  1404.8925	   217.4262	  1622.3188	   565.7900	   565.7900	   556.9700	   340.1900	     4.7440	     4.6700	   740.7400	 regenerative cooling, opposite flow	 
   57.1100	    45.7700	     0.7790	  1408.7470	   214.8388	  1623.5858	   566.7300	   566.7300	   557.8800	   339.6200	     4.7440	     4.6600	   741.3600	 regenerative cooling, opposite flow	 
   60.2800	    45.7700	     0.7794	  1408.8168	   214.2176	  1623.0345	   567.4900	   567.4900	   558.6500	   339.0400	     4.7440	     4.6600	   741.9700	 regenerative cooling, opposite flow	 
   63.4500	    45.7700	     0.7790	  1407.6532	   213.8269	  1621.4801	   568.1000	   568.1000	   559.2700	   338.4700	     4.7450	     4.6600	   742.5800	 regenerative cooling, opposite flow	 
   66.6300	    45.7700	     0.7784	  1406.0826	   213.7220	  1619.8045	   568.7000	   568.7000	   559.8700	   337.8900	     4.7450	     4.6500	   743.2000	 regenerative cooling, opposite flow	 
   69.8000	    45.7700	     0.7778	  1404.5546	   213.7261	  1618.2806	   569.2800	   569.2800	   560.4800	   337.3100	     4.7460	     4.6500	   743.8100	 regenerative cooling, opposite flow	 
   72.9700	    45.7700	     0.7772	  1402.9967	   213.6968	  1616.6934	   569.8600	   569.8600	   561.0700	   336.7300	     4.7460	     4.6400	   744.4300	 regenerative cooling, opposite flow	 
   76.1400	    45.7700	     0.7765	  1401.4156	   213.6925	  1615.1082	   570.4400	   570.4400	   561.6500	   336.1500	     4.7470	     4.6400	   745.0500	 regenerative cooling, opposite flow	 
   79.3200	    45.7700	     0.7759	  1399.8665	   213.8275	  1613.6940	   571.0200	   571.0200	   562.2400	   335.5700	     4.7470	     4.6400	   745.6700	 regenerative cooling, opposite flow	 
   82.4900	    45.7700	     0.7753	  1398.3604	   213.6112	  1611.9716	   571.5600	   571.5600	   562.7900	   334.9900	     4.7470	     4.6300	   746.2900	 regenerative cooling, opposite flow	 
   85.6600	    45.7700	     0.7747	  1396.8699	   213.7108	  1610.5807	   572.1200	   572.1200	   563.3700	   334.4100	     4.7480	     4.6300	   746.9100	 regenerative cooling, opposite flow	 
   88.8300	    45.7700	     0.7742	  1395.4220	   213.7648	  1609.1867	   572.6700	   572.6700	   563.9400	   333.8200	     4.7480	     4.6300	   747.5300	 regenerative cooling, opposite flow	 
   92.0100	    45.7700	     0.7736	  1393.9357	   213.6521	  1607.5878	   573.2100	   573.2100	   564.4700	   333.2400	     4.7490	     4.6200	   748.1600	 regenerative cooling, opposite flow	 
   95.1800	    45.7700	     0.7730	  1392.5338	   213.4902	  1606.0240	   573.7300	   573.7300	   565.0000	   332.6500	     4.7490	     4.6200	   748.7800	 regenerative cooling, opposite flow	 
   98.3500	    45.7700	     0.7724	  1391.0754	   213.4162	  1604.4916	   574.2600	   574.2600	   565.5300	   332.0600	     4.7500	     4.6100	   749.4100	 regenerative cooling, opposite flow	 
  101.5200	    45.7700	     0.7719	  1389.6688	   213.6345	  1603.3033	   574.8000	   574.8000	   566.1000	   331.4700	     4.7500	     4.6100	   750.0300	 regenerative cooling, opposite flow	 
  104.7000	    45.7700	     0.7713	  1388.2841	   213.5474	  1601.8315	   575.3100	   575.3100	   566.6100	   330.8800	     4.7510	     4.6100	   750.6600	 regenerative cooling, opposite flow	 
  107.8700	    45.7700	     0.7708	  1386.9353	   213.5605	  1600.4958	   575.8200	   575.8200	   567.1500	   330.2900	     4.7510	     4.6000	   751.2900	 regenerative cooling, opposite flow	 
  111.0400	    45.7700	     0.7701	  1385.1658	   213.2816	  1598.4474	   576.4500	   576.4500	   567.7700	   329.7000	     4.7510	     4.6000	   751.9100	 regenerative cooling, opposite flow	 
  114.2200	    45.7700	     0.7693	  1383.0448	   213.4658	  1596.5106	   577.2600	   577.2600	   568.6000	   329.1100	     4.7520	     4.5900	   752.5300	 regenerative cooling, opposite flow	 
  117.3900	    45.7700	     0.7684	  1380.9299	   213.3955	  1594.3253	   578.0300	   578.0300	   569.3700	   328.5200	     4.7520	     4.5900	   753.1400	 regenerative cooling, opposite flow	 
